PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PL/M
Carmelo Anthony,LAL,38,32,13,19,3.8,1.4,0.4,1.1,41.2,0.3,0.7,43.5,0.2,0.3,77.8,0.1,0.4,0.5,0,0.1,0.1,0.1,0.2,2.7,1,0,-0.6
Carsen Edwards,DET,24,1,1,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Cassius Stanley,DET,22,1,1,0,5.4,2,0,0,0,0,0,0,2,2,100,1,0,1,0,0,0,1,0,6.2,0,0,0
Cedi Osman,CLE,27,18,11,7,2,0.7,0.2,0.8,28.6,0.2,0.5,33.3,0.1,0.1,50,0.1,0.1,0.2,0.2,0,0.1,0.1,0.2,1.6,0,0,-0.8
Charlie Brown Jr.,PHI,25,2,1,1,0.6,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.6,0,0,-1.5
Chimezie Metu,SAC,25,14,7,7,1.3,0.6,0.2,0.4,60,0.1,0.3,50,0.1,0.1,100,0,0.3,0.3,0,0.2,0.1,0,0.2,1.2,1,0,0.7
Chris Boucher,TOR,29,23,11,12,2.6,0.6,0.2,0.5,41.7,0,0.2,0,0.1,0.2,75,0.1,0.6,0.7,0,0,0.1,0.1,0.4,2.2,7,0,0.1
Chris Chiozza,GSW,26,3,2,1,2.7,0,0,0.7,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0.3,0,0,1.5,0,0,2
Chris Duarte,IND,25,19,7,12,3.5,1.3,0.5,1.6,29,0.3,0.9,29.4,0.1,0.1,100,0,0.3,0.3,0.2,0.2,0.1,0.1,0.3,2,0,0,-1.1
Chris Paul,PHX,37,29,25,4,3.1,2.8,0.9,1.5,56.8,0.1,0.3,40,0.9,1.1,81.3,0,0.6,0.6,1.2,0.2,0.1,0.1,0.1,5.5,20,1,4
Christian Wood,HOU,26,23,10,13,3.5,1.7,0.5,1.2,44.4,0.1,0.3,37.5,0.5,0.7,68.8,0.1,0.8,0.9,0.3,0.4,0.1,0.1,0.7,3.3,17,0,-1
Chuma Okeke,ORL,23,14,8,6,2.5,1.6,0.5,0.7,70,0.3,0.4,66.7,0.3,0.4,80,0.1,0.4,0.5,0.2,0.1,0,0.1,0.1,2.6,0,0,0.1
Clint Capela,ATL,28,28,14,14,3.1,0.8,0.4,0.5,84.6,0,0,0,0,0.2,16.7,0.3,0.4,0.7,0,0,0,0.2,0.4,2.3,15,0,-0.7
Coby White,CHI,22,24,14,10,2,0.3,0.1,0.3,28.6,0.1,0.3,33.3,0,0.1,50,0.1,0.2,0.3,0.2,0,0,0.1,0.3,1.3,0,0,1.4
Cody Martin,CHA,26,26,17,9,2.3,0.7,0.2,0.3,57.1,0.1,0.2,50,0.3,0.3,87.5,0,0.2,0.2,0.2,0,0.1,0,0.4,1.5,0,0,0.4
Cody Zeller,POR,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Anthony,ORL,22,25,10,15,4.1,3.2,1,2.2,42.9,0.2,0.9,22.7,1.1,1.2,96.6,0,0.9,1,0.4,0.2,0,0,0.5,4.9,4,0,0.8
Collin Sexton,CLE,23,5,4,1,1.8,1,0.4,1.2,33.3,0.2,0.6,33.3,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,-0.4
Corey Kispert,WAS,23,21,11,10,1.7,0.6,0.2,0.3,66.7,0.1,0.2,50,0.1,0.1,100,0.1,0,0.1,0,0,0,0,0.3,1.1,0,0,0.4
Cory Joseph,DET,30,27,11,16,2.8,0.9,0.3,0.7,44.4,0.1,0.4,40,0.1,0.1,100,0.1,0.3,0.3,0.1,0.1,0,0,0.3,1.4,0,0,-1.4
D'Angelo Russell,MIN,26,28,16,12,3.5,3.3,1,2.2,45.2,0.3,1.1,30,1,1.1,90,0,0.3,0.4,0.5,0.1,0.1,0.1,0.3,4.9,5,0,0.8
D.J. Augustin,LAL,34,5,4,1,1.2,1.4,0.4,0.6,66.7,0.2,0.2,100,0.4,0.4,100,0,0.2,0.2,0,0,0,0,0,1.6,0,0,3
D.J. Wilson,TOR,26,1,0,1,4.3,4,0,0,0,0,0,0,4,5,80,0,1,1,0,0,0,0,1,5.2,0,0,-2
Daishen Nix,HOU,20,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
Dalano Banton,TOR,22,4,3,1,0.9,0,0,0,0,0,0,0,0,0.5,0,0.3,0,0.3,0,0,0,0,0,0.3,0,0,-1.3
Damian Jones,SAC,27,13,8,5,4.3,1.5,0.7,0.8,81.8,0,0,0,0.2,0.6,25,0.5,0.8,1.2,0.3,0.3,0.1,0.1,0.5,3.6,2,0,1.4
Damian Lillard,POR,31,12,5,7,3.7,2.4,0.7,2.5,26.7,0.3,1.4,17.6,0.8,1,83.3,0.3,0.7,0.9,0.6,0.3,0,0,0.3,4.1,6,0,-1.3
Damion Lee,GSW,29,20,10,10,2,0.9,0.3,0.6,41.7,0.2,0.5,44.4,0.2,0.2,100,0.1,0.3,0.4,0.2,0.1,0,0,0.3,1.4,0,0,0.7
Damyean Dotson,NYK,28,1,0,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Daniel Gafford,WAS,23,19,12,7,2.7,0.9,0.3,0.5,50,0,0,0,0.4,0.4,100,0.4,0.5,0.8,0.1,0.1,0,0.2,0.3,2.6,4,0,0.9
Daniel Theis,BOS,30,6,2,4,4.5,1.7,0.7,1,66.7,0.2,0.2,100,0.2,0.3,50,0.2,0.7,0.8,0,0.2,0,0,0.2,2.5,1,0,-1.3
Danilo Gallinari,ATL,33,23,11,12,1.9,0.5,0.1,0.6,21.4,0,0.3,12.5,0.2,0.3,83.3,0,0.1,0.2,0.1,0,0,0,0.3,1.1,0,0,-0.7
Danny Green,PHI,35,21,9,12,2.6,0.9,0.3,0.7,42.9,0.3,0.6,46.2,0,0,0,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.2,2,0,0,-0.1
Danuel House Jr.,UTA,29,10,6,4,2.3,1.2,0.4,0.7,57.1,0.4,0.6,66.7,0,0,0,0.1,0.3,0.4,0,0,0,0,0.3,1.7,0,0,-1.3
Darius Bazley,OKC,22,28,12,16,3.9,1,0.4,0.9,38.5,0.1,0.5,26.7,0.2,0.3,62.5,0.1,0.7,0.8,0.1,0.1,0.1,0.1,0.3,2.7,3,0,-1.2
Darius Garland,CLE,22,34,16,18,3.5,2.5,0.7,1.9,36.9,0.2,0.7,24,0.9,1,85.7,0.1,0.2,0.4,0.7,0.2,0.1,0,0.2,4,18,0,0.6
David Duke Jr.,BKN,22,6,3,3,2.7,0.8,0.2,1,16.7,0.2,0.7,25,0.3,0.3,100,0.7,0.5,1.2,0.2,0,0,0.2,0,3,2,0,0.5
David Nwaba,HOU,29,6,3,3,1.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0.2,0.2,0.5,1.5,0,0,-2.5
Davion Mitchell,SAC,23,32,16,16,2.5,1.1,0.4,0.9,40,0,0.2,20,0.3,0.4,69.2,0.1,0.1,0.2,0.2,0.2,0.2,0,0.1,1.9,2,0,0.3
Davis Bertans,DAL,29,5,5,0,1.3,1,0.2,0.8,25,0.2,0.8,25,0.4,0.4,100,0,0.4,0.4,0,0,0,0,0.2,1.5,0,0,4
Davon Reed,DEN,27,7,3,4,2.8,0,0,0.7,0,0,0.4,0,0,0.3,0,0,0.6,0.6,0,0.1,0.1,0,0.4,1,0,0,-1.9
Day'Ron Sharpe,BKN,20,5,1,4,1.1,0.4,0.2,0.2,100,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0.2,1.2,1,0,-1
De'Aaron Fox,SAC,24,30,11,19,3.7,2.7,0.9,2.1,42.2,0,0.4,8.3,0.8,1.1,78.1,0,0.5,0.5,0.6,0.4,0.2,0,0.5,4.4,3,0,-0.7
De'Andre Hunter,ATL,24,27,13,14,3,1,0.4,1,37,0.1,0.4,20,0.2,0.4,60,0.1,0.3,0.4,0,0,0,0.1,0.4,1.8,2,0,0.3
De'Anthony Melton,MEM,24,20,12,8,2.6,0.8,0.3,0.7,42.9,0.1,0.3,16.7,0.2,0.2,75,0.1,0.3,0.4,0.1,0.1,0.2,0.2,0.2,2.1,1,0,0.3
DeAndre Jordan,PHI,33,1,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DeAndre' Bembry,MIL,27,9,6,3,2.1,0.6,0.2,0.6,40,0,0,0,0.1,0.1,100,0,0.1,0.1,0,0,0.2,0,0.4,1.4,0,0,-1.7
DeMar DeRozan,CHI,32,38,23,15,3.4,4.1,1.2,2.3,53.5,0.1,0.1,50,1.7,1.9,88.7,0.1,0.6,0.7,0.4,0.2,0.1,0,0.3,5.8,2,0,1.4
DeMarcus Cousins,DEN,31,2,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dean Wade,CLE,25,11,5,6,2.7,0.3,0.1,0.5,20,0.1,0.4,25,0,0,0,0,0,0,0.3,0,0.1,0.1,0.3,1.2,0,0,-1.2
Deandre Ayton,PHX,23,28,22,6,3.2,1.4,0.6,0.8,81.8,0,0,0,0.1,0.2,80,0.1,0.8,0.9,0,0.2,0,0,0.4,2.6,15,0,2.6
Dejounte Murray,SAS,25,34,15,19,3.7,2.8,1,2.4,43.2,0.1,0.4,21.4,0.6,0.9,67.7,0.1,0.6,0.7,0.6,0.4,0.2,0,0.3,4.8,24,8,-1.4
Delon Wright,ATL,30,10,6,4,2.6,0.1,0,0.1,0,0,0.1,0,0.1,0.1,100,0.1,0.3,0.4,0.2,0,0,0,0.1,0.9,0,0,-2.1
Deni Avdija,WAS,21,25,16,9,2.9,0.8,0.3,0.9,30.4,0.1,0.4,27.3,0.2,0.2,66.7,0.1,0.8,0.9,0.2,0,0.2,0.2,0.5,3.2,2,0,1.8
Dennis Schroder,HOU,28,24,9,15,4.3,2.1,0.7,1.6,44.7,0.1,0.5,16.7,0.6,0.8,83.3,0,0.4,0.4,0.6,0.2,0.1,0.1,0.3,3.8,1,0,0.1
Dennis Smith Jr.,POR,24,8,4,4,1.2,0.4,0.1,0.4,33.3,0,0,0,0.1,0.1,100,0,0.1,0.1,0.4,0.1,0.4,0,0.3,2.1,0,0,0
Denzel Valentine,UTA,28,4,1,3,2.6,0,0,0.5,0,0,0.5,0,0,0,0,0.3,0.8,1,0.3,0.3,0,0,0.5,1.3,0,0,-4
Derrick Favors,OKC,30,7,6,1,1.9,1.1,0.6,0.6,100,0,0,0,0,0,0,0.1,0.3,0.4,0.1,0,0,0,0.1,1.9,1,0,3.1
Derrick Jones Jr.,CHI,25,15,9,6,2.2,0.5,0.2,0.3,75,0,0,0,0.1,0.1,100,0.1,0.2,0.3,0.1,0,0,0.2,0.3,1.6,0,0,0.6
Derrick Rose,NYK,33,12,3,9,2.6,1.1,0.5,1.2,42.9,0.1,0.4,20,0,0,0,0.2,0.2,0.3,0.6,0.1,0,0.1,0.3,2.5,0,0,-2.3
Derrick Walton Jr.,DET,27,2,1,1,5.1,1,0,2,0,0,1.5,0,1,1,100,0,0.5,0.5,1,1,0.5,0,0,3.6,0,0,-3
Derrick White,BOS,27,25,9,16,3.5,1.2,0.4,1.2,34.5,0.1,0.6,13.3,0.3,0.4,72.7,0.1,0.2,0.3,0.3,0.2,0.1,0.1,0.5,2.5,1,0,-0.8
Desmond Bane,MEM,24,29,19,10,4.1,2.1,0.8,1.7,44.9,0.4,0.9,40.7,0.2,0.3,66.7,0.1,0.3,0.4,0.1,0.2,0.2,0,0.4,3.2,0,0,1.2
Devin Booker,PHX,25,32,26,6,3,2.9,0.9,1.6,56.9,0.3,0.7,40.9,0.8,1.1,77.1,0.1,0.3,0.4,0.4,0.1,0,0.1,0.4,4.3,3,0,3
Devin Cannady,ORL,26,1,1,0,2.8,1,0,0,0,0,0,0,1,2,50,0,1,1,0,0,0,0,0,2.2,0,0,4
Devin Vassell,SAS,21,26,9,17,3.5,0.2,0.1,0.8,9.1,0,0.5,0,0.1,0.2,50,0.2,0.5,0.7,0.3,0.1,0,0.1,0.5,1.7,1,0,-2.3
Devontae Cacok,SAS,25,2,0,2,1.3,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.6,0,0,-3.5
Devonte' Graham,NOP,27,26,10,16,3.1,2,0.5,1.4,35.1,0.4,1.1,34.5,0.6,0.7,88.2,0,0.2,0.2,0.5,0.1,0,0,0.1,2.8,0,0,-0.6
Dewayne Dedmon,MIA,32,7,3,4,0.8,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0,0,0,0,0.1,0.3,1,0,-1
Dillon Brooks,MEM,26,7,4,3,2.9,1.9,0.6,2.1,26.7,0,0.9,0,0.7,0.9,83.3,0.3,0,0.3,0.1,0.1,0.1,0,0.9,2.7,0,0,-1
Domantas Sabonis,SAC,26,33,9,24,3.4,1.6,0.5,1.1,51.4,0.1,0.2,28.6,0.5,0.6,76.2,0.5,0.7,1.2,0.3,0.2,0.1,0,0.5,3.7,28,5,-1
Donovan Mitchell,UTA,25,33,15,18,3.6,2.4,0.9,2.8,33,0.2,1,18.8,0.4,0.6,61.9,0.1,0.3,0.4,0.6,0.4,0.1,0,0.3,3.5,1,0,-0.2
Donte DiVincenzo,SAC,25,14,9,5,2.9,1.6,0.4,0.9,46.2,0.2,0.6,33.3,0.5,0.9,58.3,0.3,0.4,0.7,0.4,0.1,0,0.1,0.3,3.1,0,0,2.9
Dorian Finney-Smith,DAL,29,36,21,15,3.2,1,0.4,0.7,52,0.1,0.3,41.7,0.1,0.2,66.7,0.2,0.4,0.6,0.1,0.1,0.1,0,0.3,2,1,0,0
Doug McDermott,SAS,30,12,3,9,1.9,0.6,0.2,0.6,28.6,0.1,0.4,20,0.2,0.2,100,0,0.3,0.3,0,0.1,0,0,0.4,0.8,0,0,-2.2
Draymond Green,GSW,32,20,12,8,3.3,1.2,0.4,0.6,66.7,0.1,0.1,100,0.3,0.4,85.7,0.3,0.5,0.8,0.6,0.3,0.1,0.2,0.3,3.5,1,0,1.3
Drew Eubanks,POR,25,4,0,4,3.6,2.5,1.3,1.3,100,0,0,0,0,0,0,1,0.3,1.3,0,0,0,0.5,0.3,5.5,2,0,-5.8
Duane Washington Jr.,IND,22,18,2,16,1.2,0.3,0.1,0.4,14.3,0.1,0.3,16.7,0.1,0.1,100,0,0.1,0.1,0,0,0,0,0.1,0.3,0,0,-1.9
Duncan Robinson,MIA,28,12,7,5,3.5,1.3,0.3,0.9,36.4,0.3,0.9,36.4,0.3,0.4,60,0,0.6,0.6,0.1,0.1,0.1,0,0.6,2.2,0,0,0.2
Dwight Howard,LAL,36,5,2,3,1.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.2,2,0,-1.4
Dwight Powell,DAL,30,25,14,11,1.5,0.3,0.1,0.1,100,0,0,0,0,0.1,33.3,0.1,0.1,0.2,0,0.2,0,0,0.4,0.5,1,0,0.6
Dylan Windler,CLE,25,3,2,1,1.3,1,0,0.3,0,0,0.3,0,1,1,100,0,0.7,0.7,0.3,0,0.3,0,0,3.3,0,0,4
Ed Davis,CLE,33,2,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Elfrid Payton,PHX,28,2,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5
Elijah Hughes,POR,24,1,0,1,1.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Enes Freedom,BOS,30,3,0,3,1.9,1,0.3,0.3,100,0,0,0,0.3,0.7,50,0.3,0.3,0.7,0,0,0,0,0.3,1.8,1,0,-2
Eric Bledsoe,POR,32,13,6,7,2.6,1,0.3,0.9,33.3,0.1,0.2,33.3,0.3,0.5,66.7,0,0.1,0.1,0.2,0,0.2,0.1,0.3,2.2,1,0,0.2
Eric Gordon,HOU,33,22,12,10,3.4,2.1,0.8,1.4,54.8,0.2,0.8,29.4,0.4,0.5,66.7,0,0.3,0.3,0.5,0.3,0,0,0.1,3,0,0,0.2
Eric Paschall,UTA,25,2,0,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.6,0,0,-1
Evan Fournier,NYK,29,27,12,15,3.4,1.7,0.6,1.6,34.9,0.4,1.1,35.5,0.1,0.2,80,0,0.4,0.4,0.3,0.2,0,0.1,0.3,2.8,0,0,-0.7
Evan Mobley,CLE,21,38,21,17,3.1,1.5,0.5,1.1,50,0,0.2,0,0.4,0.6,69.6,0.2,0.5,0.7,0.3,0.2,0.1,0.2,0.2,3.5,13,0,0.7
Facundo Campazzo,DEN,31,9,4,5,2.8,0.3,0,0.3,0,0,0.3,0,0.3,0.4,75,0,0.3,0.3,0.3,0,0,0,0.2,1.2,0,0,-4.1
Frank Jackson,DET,24,13,2,11,2.3,0.5,0.2,0.7,22.2,0.2,0.5,28.6,0,0,0,0,0.2,0.2,0,0.1,0,0.2,0.2,1.1,0,0,-2.1
Frank Kaminsky,PHX,29,2,2,0,3.7,1,0.5,1,50,0,0,0,0,0,0,0,1,1,0.5,0.5,0,0,0,2.5,0,0,6.5
Frank Ntilikina,DAL,23,5,2,3,1.9,0.4,0,0.2,0,0,0,0,0.4,0.4,100,0,0.2,0.2,0,0,0,0,0.2,0.6,0,0,-2.6
Franz Wagner,ORL,20,29,11,18,4.1,1.9,0.6,1.6,40,0.1,0.3,20,0.6,0.8,78.3,0.1,0.5,0.6,0.2,0.1,0.1,0.1,0.3,3.4,2,0,-0.1
Fred VanVleet,TOR,28,33,20,13,4.4,2.6,0.8,2.3,33.8,0.6,1.4,40.4,0.5,0.6,75,0.1,0.4,0.5,0.7,0.2,0.2,0,0.3,4.5,6,0,0.9
Freddie Gillespie,ORL,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furkan Korkmaz,PHI,24,14,7,7,2.1,0.6,0.2,0.6,37.5,0.1,0.4,40,0,0,0,0,0.2,0.2,0.1,0.1,0.1,0,0.1,1.4,0,0,0.9
Gabe Vincent,MIA,26,18,11,7,2.4,1,0.3,0.7,41.7,0.2,0.4,50,0.2,0.2,100,0.1,0.1,0.2,0.3,0.2,0.1,0,0.3,1.6,0,0,0.2
Gabriel Lundberg,PHX,27,2,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3.5
Garrett Temple,NOP,36,15,8,7,1.4,0.4,0.1,0.2,66.7,0.1,0.2,66.7,0,0,0,0,0,0,0.1,0,0.1,0,0.1,1,0,0,-1.5
Garrison Mathews,HOU,25,20,10,10,2.5,1.7,0.4,0.7,53.8,0.3,0.6,50,0.7,0.9,82.4,0.1,0.3,0.4,0,0.1,0,0,0.4,2.1,0,0,0.1
Gary Clark,NOP,27,5,4,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.6,0,0,-2
Gary Harris,ORL,27,23,9,14,2.9,0.3,0.1,0.5,16.7,0,0.5,9.1,0.1,0.1,100,0,0.1,0.1,0.1,0.1,0,0,0.3,0.5,0,0,-0.7
Gary Payton II,GSW,29,25,13,12,1.4,0.4,0.2,0.2,83.3,0,0.1,50,0,0,0,0,0.2,0.3,0,0,0,0,0.2,1,0,0,-0.6
Gary Trent Jr.,TOR,23,37,23,14,4.1,2.6,0.7,1.7,42.9,0.4,0.9,42.4,0.8,0.9,87.5,0.1,0.4,0.5,0.2,0.1,0.2,0.1,0.4,4.1,0,0,1.4
George Hill,MIL,36,21,12,9,2.1,0.5,0.2,0.4,50,0,0.1,33.3,0.1,0.1,100,0.1,0.1,0.3,0.1,0.1,0.1,0,0.1,1.3,0,0,-0.3
Georges Niang,PHI,29,31,17,14,2.3,0.5,0.2,0.5,29.4,0.1,0.4,30.8,0,0.1,50,0.1,0.2,0.3,0.1,0,0,0,0.3,1,0,0,1.4
Georgios Kalaitzakis,OKC,23,1,1,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Giannis Antetokounmpo,MIL,27,33,21,12,2.9,2.4,0.8,1.5,51,0.1,0.2,28.6,0.8,1.2,73.7,0.2,0.8,1,0.4,0.3,0.1,0.2,0.4,4.7,28,1,1.1
Goga Bitadze,IND,22,11,1,10,1.2,0.5,0.2,0.3,66.7,0,0.1,0,0.1,0.5,20,0.1,0.2,0.3,0,0,0,0,0.5,0.8,1,0,-1.8
Goran Dragic,BKN,36,12,4,8,2,0.3,0.1,0.3,33.3,0,0.2,0,0.2,0.2,100,0.1,0.1,0.2,0.2,0.2,0.1,0,0.3,0.9,0,0,0.5
Gordon Hayward,CHA,32,20,10,10,3.7,1.1,0.3,1.3,24,0.2,0.3,60,0.4,0.4,87.5,0.1,0.2,0.3,0.5,0.2,0.1,0.1,0.1,2.4,0,0,-0.8
Grant Williams,BOS,23,15,6,9,2.5,0.4,0.1,0.5,14.3,0.1,0.3,20,0.2,0.3,75,0.1,0.2,0.3,0,0.1,0,0,0.4,0.7,0,0,-0.1
Grayson Allen,MIL,26,21,12,9,2,0.4,0.1,0.4,25,0.1,0.3,28.6,0.1,0.1,66.7,0,0.1,0.1,0.1,0,0,0,0.3,0.9,0,0,1.3
Greg Brown III,POR,20,1,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Greg Monroe,MIN,32,2,1,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,2.1,0,0,-3.5
Hamidou Diallo,DET,23,9,5,4,3.6,1.1,0.6,1.3,41.7,0,0.1,0,0,0,0,0.2,0.3,0.6,0,0.1,0.2,0,0.3,2.3,2,0,0.4
Harrison Barnes,SAC,30,34,13,21,3.4,1.6,0.5,1.3,38.6,0.2,0.4,40,0.5,0.5,94.1,0.1,0.3,0.4,0.1,0.2,0,0,0.2,2.1,3,0,-0.9
Hassan Whiteside,UTA,33,10,1,9,0.5,0.4,0.2,0.3,66.7,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0.3,0.4,3,0,-1.1
Hassani Gravett,ORL,25,3,1,2,2.1,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.7,0,0.3,0,0,0.3,0.5,0,0,-2
Herbert Jones,NOP,23,28,14,14,3.4,1.6,0.5,0.9,57.7,0,0.1,33.3,0.5,0.7,78.9,0.1,0.3,0.4,0.1,0.1,0.1,0,0.4,2.7,0,0,0.3
Ignas Brazdeikis,ORL,23,3,1,2,1.9,0.7,0.3,1,33.3,0,0.3,0,0,0.7,0,0.3,0,0.3,0,0.3,0,0,0.3,0.7,0,0,-4
Immanuel Quickley,NYK,23,30,12,18,2.7,0.6,0.2,0.8,21.7,0.1,0.4,15.4,0.2,0.2,100,0.1,0.2,0.3,0.2,0,0.1,0,0.3,1.4,1,1,-1.2
Isaac Okoro,CLE,21,34,14,20,3.1,0.7,0.2,0.4,46.7,0.1,0.2,50,0.2,0.3,63.6,0.1,0.1,0.2,0.1,0,0.1,0.1,0.4,1.7,0,0,0.4
Isaiah Hartenstein,LAC,24,16,9,7,1.1,0.8,0.4,0.4,85.7,0,0,0,0.1,0.2,33.3,0,0.3,0.3,0.2,0.1,0,0.1,0.1,1.7,0,0,0.4
Isaiah Jackson,IND,20,7,3,4,3.1,1.3,0.4,0.7,60,0,0,0,0.4,0.9,50,0.4,0.4,0.9,0.1,0.4,0.4,0.1,0.7,3.8,2,0,0.7
Isaiah Joe,PHI,22,4,3,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
Isaiah Livers,DET,23,6,3,3,3.1,0.5,0.2,1.2,14.3,0.2,1,16.7,0,0,0,0.2,0.2,0.3,0,0.2,0.2,0.2,0.7,1.7,0,0,-1.7
Isaiah Roby,OKC,24,11,5,6,2.9,1.8,0.5,0.7,75,0.3,0.3,100,0.5,0.7,62.5,0.2,0.5,0.7,0.3,0.1,0.3,0.2,0.5,4.4,3,0,-0.3
Isaiah Stewart,DET,21,28,11,17,3,0.6,0.3,0.5,53.3,0,0,0,0,0.1,50,0.4,0.3,0.6,0,0.1,0,0.1,0.4,1.6,6,0,-1.8
Isaiah Thomas,CHA,33,3,1,2,1.7,0,0,0.7,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0.5,0,0,1.7
Ish Smith,WAS,33,10,7,3,2.3,1.2,0.5,1,50,0.1,0.3,33.3,0.1,0.2,50,0,0.5,0.5,0.3,0,0.1,0.1,0.3,2.9,0,0,3.9
Ish Wainright,PHX,27,5,3,2,1.3,0.4,0.2,0.6,33.3,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,0.4,1.3,0,0,0
Ivica Zubac,LAC,25,25,14,11,2.9,1.7,0.6,0.8,70,0,0,0,0.6,0.8,70,0.5,0.6,1.1,0.1,0,0,0.3,0.5,4,14,0,0.4
JT Thor,CHA,19,3,1,2,1.5,0.7,0.3,0.3,100,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0.7,0,0,-4.3
Ja Morant,MEM,22,26,17,9,4.1,4.6,1.3,3.1,42,0.2,0.5,28.6,1.8,2.2,82.5,0.1,0.6,0.7,0.4,0.3,0.2,0,0.4,6.4,5,1,1.7
JaMychal Green,DEN,32,7,5,2,0.9,0.6,0.3,0.3,100,0,0,0,0,0,0,0,0.3,0.3,0,0,0.1,0,0.4,1.3,0,0,-0.6
JaVale McGee,PHX,34,5,4,1,1.6,2,0.6,0.8,75,0,0,0,0.8,1,80,0.2,0,0.2,0.2,0,0,0,0.6,2.5,1,0,-0.8
Jaden McDaniels,MIN,21,25,15,10,2.2,0.5,0.2,0.4,44.4,0,0.2,25,0.2,0.2,80,0.1,0.1,0.2,0.1,0,0,0,0.2,1.1,0,0,-0.3
Jae Crowder,PHX,31,30,24,6,3.1,1.1,0.3,0.7,45,0.2,0.5,50,0.3,0.4,75,0.1,0.7,0.8,0.2,0.1,0.2,0.1,0.4,3.3,0,0,3
Jae'Sean Tate,HOU,26,28,12,16,3,1.3,0.4,0.9,45.8,0,0.1,33.3,0.4,0.5,80,0.3,0.4,0.6,0.2,0.2,0.1,0.1,0.3,2.8,4,0,-0.9
Jake Layman,MIN,28,2,0,2,2.6,1.5,0.5,0.5,100,0.5,0.5,100,0,0,0,0,0.5,0.5,0,0,0,0,0,2.1,0,0,-4
Jakob Poeltl,SAS,26,29,13,16,3.9,1.4,0.6,0.9,59.3,0,0,0,0.3,0.6,47.1,0.6,0.9,1.4,0.2,0.1,0,0.3,0.6,4.3,12,0,-0.7
Jalen Brunson,DAL,25,35,20,15,3.1,1.1,0.4,1.1,37.8,0,0.3,10,0.3,0.4,78.6,0.1,0.3,0.4,0.3,0.1,0.1,0,0.4,2.1,2,0,-0.1
Jalen Green,HOU,20,23,6,17,3.5,1.8,0.6,1.3,41.9,0.3,0.7,40,0.4,0.4,90,0.3,0.3,0.6,0.1,0.1,0.1,0,0.4,2.9,0,0,-1.8
Jalen McDaniels,CHA,24,6,3,3,1.5,0.3,0.2,0.5,33.3,0,0.2,0,0,0,0,0,0.5,0.5,0,0.2,0.2,0,0,1.3,0,0,0.5
