PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PL/M
Theo Pinson,DAL,26,1,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Thomas Bryant,WAS,24,3,2,1,1.2,0.7,0.3,0.7,50,0,0.3,0,0,0,0,0,0.7,0.7,0,0.3,0,0,0,1.1,0,0,-0.3
Tim Frazier,CLE,31,1,0,1,7.2,2,1,2,50,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1.5,0,0,-12
Tim Hardaway Jr.,DAL,30,18,9,9,3.2,1.3,0.4,1.2,38.1,0.3,0.7,38.5,0.2,0.3,50,0,0.1,0.1,0.3,0.1,0.1,0,0.3,2.1,0,0,-1.6
Timothe Luwawu-Cabarrot,ATL,27,8,3,5,2.4,0,0,0.5,0,0,0.3,0,0,0,0,0.3,0,0.3,0,0,0,0.1,0.6,0.7,0,0,-2.5
Tobias Harris,PHI,29,38,19,19,4,1.2,0.4,1.1,35,0.1,0.3,27.3,0.4,0.5,78.9,0.2,0.6,0.8,0.2,0.1,0,0,0.4,2.4,5,1,-0.1
Tomas Satoransky,WAS,30,7,4,3,2.1,0.7,0.1,0.3,50,0,0,0,0.4,0.4,100,0.1,0,0.1,0.7,0,0,0,0.1,2,0,0,1.4
Tony Bradley,CHI,24,4,0,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Snell,NOP,30,4,0,4,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,-2.5
Torrey Craig,PHX,31,23,9,14,3.1,0.5,0.2,0.7,29.4,0,0.2,0,0.1,0.1,100,0.3,0.4,0.7,0,0.1,0.1,0.1,0.5,2,2,0,-2.7
Trae Young,ATL,23,35,16,19,3.3,3.6,1,2.3,42.7,0.3,0.8,34.5,1.3,1.5,88.2,0.1,0.2,0.3,0.6,0.3,0.1,0,0.1,4.7,22,0,-0.5
Trayvon Palmer,DET,27,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Tre Jones,SAS,22,12,5,7,1.9,0.5,0.3,0.7,37.5,0,0,0,0,0,0,0,0.2,0.2,0.3,0,0.1,0.1,0.3,1.6,1,0,-1.9
Tre Mann,OKC,21,18,7,11,3.3,1.4,0.3,1.2,27.3,0.1,0.4,25,0.6,0.7,91.7,0,0.3,0.3,0.2,0,0.1,0,0.2,2.3,0,0,0.2
Trendon Watford,POR,21,6,2,4,2,0.5,0.2,0.8,20,0,0,0,0.2,0.3,50,0.7,0.3,1,0,0,0.2,0.2,0.3,2.7,0,0,0
Trent Forrest,UTA,24,2,1,1,2.1,0.5,0,0,0,0,0,0,0.5,1,50,0,0,0,0.5,0,0,0,0.5,1.3,0,0,-0.5
Trevor Ariza,LAL,37,3,1,2,3.7,2,0.7,1,66.7,0.3,0.7,50,0.3,0.7,50,0,0.7,0.7,0.3,0,0,0,0,3.3,0,0,1
Trey Burke,DAL,29,1,0,1,1.8,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
Trey Lyles,SAC,26,16,9,7,3.3,1.3,0.3,0.6,55.6,0,0.1,0,0.6,0.6,100,0.1,0.6,0.7,0.1,0,0.1,0.1,0.4,2.5,3,0,-0.4
Trey Murphy III,NOP,22,11,4,7,1.9,0,0,0.4,0,0,0.3,0,0,0,0,0.1,0.2,0.3,0.1,0,0,0,0.2,0.5,0,0,0.5
Tristan Thompson,CHI,31,7,3,4,2.2,0.6,0.3,0.7,40,0,0,0,0,0,0,0.6,0.1,0.7,0.1,0,0,0,0,1.6,0,0,-1.3
Troy Brown Jr.,CHI,22,7,6,1,1.4,0,0,0.1,0,0,0,0,0,0,0,0.1,0.3,0.4,0.3,0,0,0,0.1,0.9,1,0,2.6
Ty Jerome,OKC,24,11,2,9,0.5,0.3,0.1,0.1,100,0.1,0.1,100,0,0.2,0,0,0,0,0,0,0.1,0,0.2,0.5,0,0,0.7
Tyler Herro,MIA,22,25,14,11,3.8,2.3,0.7,2,36,0.4,1,38.5,0.5,0.6,75,0.1,0.5,0.6,0.2,0.2,0,0,0.2,3.5,2,0,0.4
Tyler Johnson,SAS,30,1,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrese Haliburton,IND,22,36,12,24,3.7,1.4,0.4,1.2,38.1,0.2,0.7,33.3,0.3,0.3,81.8,0.1,0.2,0.3,0.4,0.1,0.2,0.1,0.2,3.1,11,0,-0.9
Tyrese Maxey,PHI,21,41,21,20,3.8,1.4,0.4,1.2,36.7,0.1,0.3,33.3,0.4,0.5,81.8,0,0.2,0.3,0.3,0.1,0,0,0.3,2.3,0,0,0.2
Tyrone Wallace,NOP,28,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Tyus Jones,MEM,26,15,11,4,2.6,0.9,0.3,0.5,57.1,0.1,0.1,100,0.3,0.3,100,0.1,0.3,0.4,0.3,0.1,0.1,0,0,2,0,0,1.9
Udoka Azubuike,UTA,22,1,1,0,3.9,2,1,1,100,0,0,0,0,0,0,0,4,4,0,0,0,0,1,6.8,0,0,6
Udonis Haslem,MIA,42,1,1,0,5.2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3.6,0,0,3
Usman Garuba,HOU,20,2,0,2,3.2,1,0.5,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,0,0,-4.5
Victor Oladipo,MIA,30,1,1,0,2.3,4,1,1,100,1,1,100,1,2,50,0,0,0,0,0,0,0,0,4,0,0,9
Vit Krejci,OKC,22,6,2,4,2,0.5,0.2,0.3,50,0.2,0.2,100,0,0,0,0,0.3,0.3,0.2,0,0,0,0.3,1.2,0,0,-0.3
Vlatko Cancar,DEN,25,1,0,1,6.3,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,1.2,0,0,-8
Wayne Ellington,LAL,34,10,5,5,3,0.6,0.2,0.6,33.3,0.2,0.6,33.3,0,0,0,0.1,0.2,0.3,0.3,0,0.1,0,0,1.7,0,0,2.3
